Resident Evil,6.7
West Side Story,7.5
Man of Tomorrow,7.9
Belfast,7.8
The Feast,5.7
The Hand of God,7.5
Army of the Dead,5.8
Venom,6.7
Clifford the Big Red Dog,6.0
The French Dispatch,7.5
The Princess Switch: Switched Again,5.4
"tick, tick...BOOM!",7.8
Dune,7.0
Pam & Tommy,7.8
Sound of Metal,7.8
Shadowprowler,8.3
Ghostbusters II,6.6
The Fate of the Furious,6.6
Outlier,5.7
Candyman,5.9
Passing,6.6
Red Notice,6.4
Halo,6.5
Love Hard,6.3
Army of Thieves,6.4
Home Sweet Home Alone,3.5
Spencer,7.2
Fifty Shades Freed,4.5
The Matrix,8.7
Roosevelt,
The Beta Test,6.2
Fast Times at Ridgemont High,7.2
"tick, tick...BOOM!",7.8
Spider-Man: Far from Home,7.4
The Godfather,9.2
Wolf,4.2
Avengers: Infinity War,8.4
Finch,6.9
The Godfather: Part II,9.0
After We Collided,5.2
Last Night in Soho,7.3
King Richard,7.6
Raw,7.0
Black Widow,6.7
Titane,6.7
National Lampoon's Vacation,7.4
The Sopranos,9.2
Black Widow,6.7
Once Upon a Time... In Hollywood,7.6
Nightcrawler,7.8
Home Alone 2: Lost in New York,6.8
Isle of Dogs,7.9
Climax,7.0
Spider-Man 2,7.3
The Curious Birth of Benjamin Button,7.4
Inception,8.8
Free Guy,7.2
The Dark Knight,9.0
Hell Trip,6.7
"tick, tick...BOOM!",7.8
Army of Thieves,6.4
King Richard,7.6
Shang-Chi and the Legend of the Ten Rings,7.6
Halloween,6.6
Black Widow,6.7
Jumanji: Welcome to the Jungle,6.9
Loki,8.3
The Suicide Squad,7.3
Turning Red,6.6
Django Unchained,8.4
The Amazing Spider-Man,6.9
Rumble Fish,7.2
Inception,8.8
Spider-Man: Far from Home,7.4
Soorarai Pottru,9.1
The Suicide Squad,7.3
Pig,6.9
Meenakshi Sundareshwar,7.4
The Amazing Spider-Man 2,6.5
Arrival,7.9
Ghostbusters,7.8
Shang-Chi and the Legend of the Ten Rings,7.6
King Richard,7.6
Notting Hill,7.1
Skyfall,7.8
Venom: Let There Be Carnage,6.2
Spider-Man: Homecoming,7.4
The Princess Diaries,6.4
Downton Abbey,7.4
The Hateful Eight,7.8
Avatar,7.8
Inception,8.8
Casino Royale,8.0
Spectre,6.8
Skyfall,7.8
Red Notice,6.4
The Lord of the Rings: The Two Towers,8.7
Outlaw King,6.9
Joker,8.4
